Baslik,Fiyat,Yorum_Sayisi,Fiyat_Temiz,Yorum_Sayisi_Temiz,Marka
"MSI PULSE 17 AI C1VFKG-083XTR Intel Core Ultra 7 155H 32GB 1TB SSD RTX4060 Freedos 17"" FHD+ 165Hz Taşınabilir Bilgisayar",68.898 TL,(101),68898.0,101,MSI
"Apple MacBook Air M4 16GB 256GB SSD macOS 13"" Taşınabilir Bilgisayar Gümüş MW0W3TU/A","44.166,24 TL",(116),44166.24,116,Apple
"Huawei Matebook D14 2024 Intel Core Intel Core i5 12450H 16GB 512GB SSD Windows 11 Home 14"" Taşınabilir Bilgisayar",27.999 TL,(13),27999.0,13,Huawei
"Acer Aspire Lite AL15-71P Intel Core i5 12450H 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar NX.J7MEY.001",17.799 TL,(49),17799.0,49,Acer
"Lenovo Ideapad Slim 3 AMD Ryzen 5 5625U 16GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 82XM00PWTX","19.779,85 TL",(30),19779.85,30,Lenovo
"Game Garaj Slayer X7T-5060 C2 Intel Core I7 14650HX 32GB Ram 1tb SSD RTX5060 16"" Qhd+ 180Hz IPS Freedos Oyuncu Laptop",57.499 TL,(93),57499.0,93,Game
"Lenovo Ideapad Slim 3 Intel Core I7 13620H 16GB 512GB SSD 16"" Wuxga IPS Fdos Taşınabilir Bilgisayar 83K2001WTR",26.499 TL,(35),26499.0,35,Lenovo
"Lenovo IdeaPad Slim 3 Intel Core i5 13420H 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 83EM00C7TR",18.499 TL,0,18499.0,0,Lenovo
"Casper Nirvana S100 300NIT i7-13620H 32GB DDR5 1TB SSD 16"" Freedos Laptop S100.1362-DF00X-G-F",28.999 TL,(120),28999.0,120,Casper
"Casper Excalibur G870 i7-13620H 32GB 1TB 8GB RTX5060 165Hz 15.6"" Freedos Taşınabilir Bilgisayar G870.1362-DF60X-C",54.499 TL,(46),54499.0,46,Casper
"Apple MacBook Air M2 16GB 256GB SSD macOS 13"" Taşınabilir Bilgisayar Yıldız Işığı MC7W4TU/A",36.999 TL,(84),36999.0,84,Apple
"Apple MacBook Air M2 16GB 256GB SSD macOS 13"" Taşınabilir Bilgisayar Gece Yarısı MC7X4TU/A",36.999 TL,(118),36999.0,118,Apple
"Lenovo Ideapad Slim 3 AMD Ryzen 7 5825U 16GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 82XM00U4TX",21.390 TL,(86),21390.0,86,Lenovo
"Erazer Deputy 15 P1 MD62764 Intel Core 5 210H 16GB 1TB SSD RTX5060 Freedos 15.6"" 144Hz Fhd IPS Taşınabilir Bilgisayar",46.999 TL,(17),46999.0,17,Erazer
"HP Victus Gaming 15-FA2704NT Intel Core i5 13420H 16GB 512GB SSD RTX3050 Freedos 15.6"" Taşınabilir Bilgisayar B7TG9EA","29.955,55 TL",(158),29955.55,158,HP
"Monster Abra A7 V16.2.2 Intel Core I7 13700HX 32 GB Ram 1 Tb SSD 8 GB Rtx 5050 Freedos 17,3"" Fhd 144 Hz Taşınabilir bilgisayar","57.420,02 TL",(39),57420.02,39,Monster
"Game Garaj Slayer X7T-5070 C2 Intel Core I7 14650HX 32GB Ram 1tb SSD RTX5070 16"" Qhd+ 180Hz IPS Freedos Oyuncu Laptop",64.699 TL,(51),64699.0,51,Game
"Game Garaj Slayer R9T-5060 C1 Amd Ryzen 9 8945HX 32GB Ram 1tb SSD RTX5060 16"" 300Hz Qhd+ Freedos Gaming Laptop",64.699 TL,(100),64699.0,100,Game
"Apple MacBook Air M4 16GB 256GB SSD macOS 13"" Taşınabilir Bilgisayar Yıldız Işığı MW0Y3TU/A",46.599 TL,(55),46599.0,55,Apple
"Lenovo Ideapad Slim 3 16IRH10 Intel Core I7 13620H 16GB 1tb SSD Freedos 16"" Fhd Taşınabilir Bilgisayar 83K2001VTR",27.999 TL,(26),27999.0,26,Lenovo
"Game Garaj Slayer X5T-5050 C2 Intel Core I5 13500HX 32GB Ram 1tb SSD RTX5050 16"" Wuxga 165Hz IPS Freedos Oyuncu Laptop",46.399 TL,(52),46399.0,52,Game
"Lenovo IdeaPad Slim 3 AMD Ryzen 3 7320U 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 82XQ00JGTX","14.707,89 TL",(10),14707.89,10,Lenovo
