Baslik,Fiyat,Yorum_Sayisi
"Apple MacBook Air M2 16GB 256GB SSD macOS 13"" Taşınabilir Bilgisayar Gece Yarısı MC7X4TU/A",36.999 TL,(118)
"Lenovo Ideapad Slim 3 AMD Ryzen 7 5825U 16GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 82XM00U4TX",21.390 TL,(86)
"Erazer Deputy 15 P1 MD62764 Intel Core 5 210H 16GB 1TB SSD RTX5060 Freedos 15.6"" 144Hz Fhd IPS Taşınabilir Bilgisayar",46.999 TL,(17)
"HP Victus Gaming 15-FA2704NT Intel Core i5 13420H 16GB 512GB SSD RTX3050 Freedos 15.6"" Taşınabilir Bilgisayar B7TG9EA","29.955,55 TL",(158)
"Monster Abra A7 V16.2.2 Intel Core I7 13700HX 32 GB Ram 1 Tb SSD 8 GB Rtx 5050 Freedos 17,3"" Fhd 144 Hz Taşınabilir bilgisayar","57.420,02 TL",(39)
"Game Garaj Slayer X7T-5070 C2 Intel Core I7 14650HX 32GB Ram 1tb SSD RTX5070 16"" Qhd+ 180Hz IPS Freedos Oyuncu Laptop",64.699 TL,(51)
"Game Garaj Slayer R9T-5060 C1 Amd Ryzen 9 8945HX 32GB Ram 1tb SSD RTX5060 16"" 300Hz Qhd+ Freedos Gaming Laptop",64.699 TL,(100)
"Apple MacBook Air M4 16GB 256GB SSD macOS 13"" Taşınabilir Bilgisayar Yıldız Işığı MW0Y3TU/A",46.599 TL,(55)
"Lenovo Ideapad Slim 3 16IRH10 Intel Core I7 13620H 16GB 1tb SSD Freedos 16"" Fhd Taşınabilir Bilgisayar 83K2001VTR",27.999 TL,(26)
"Game Garaj Slayer X5T-5050 C2 Intel Core I5 13500HX 32GB Ram 1tb SSD RTX5050 16"" Wuxga 165Hz IPS Freedos Oyuncu Laptop",46.399 TL,(52)
"Lenovo IdeaPad Slim 3 AMD Ryzen 3 7320U 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 82XQ00JGTX","14.707,89 TL",(10)
